player_id,name,team,position,goals,assists,minutes,nationality,age
1,Lallianzuala Chhangte,Mumbai City FC,Midfielder,3,0,540,India,28
2,Phurba Lachenpa,Mumbai City FC,Goalkeeper,0,0,540,India,28
3,Akash Mishra,Mumbai City FC,Defender,0,1,540,India,24
4,Nuno Reis,Mumbai City FC,Defender,0,0,540,Portugal,35
5,Hmingthanmawia Ralte,Mumbai City FC,Defender,0,0,539,India,25
6,Joni Kauko,Mumbai City FC,Midfielder,0,1,478,Finland,35
7,Lalnuntluanga,Mumbai City FC,Midfielder,0,0,475,India,26
8,Jorge Pereyra Díaz,Mumbai City FC,Forward,1,0,369,Argentina,35
9,Brandon Fernandes,Mumbai City FC,Midfielder,0,1,336,India,31
10,Sahil Panwar,Mumbai City FC,Defender,0,0,301,India,26
11,Noufal P.N,Mumbai City FC,Midfielder,3,0,280,India,25
12,Jorge Ortiz Mendoza,Mumbai City FC,Forward,0,1,209,Spain,33
13,Vikram Singh,Mumbai City FC,Midfielder,0,0,280,India,24
14,Bijay Chhetri,Mumbai City FC,Defender,0,0,239,India,24
15,Ayush Chhikara,Mumbai City FC,Forward,0,0,95,India,23
16,Zothanpuia II,Mumbai City FC,Defender,0,0,127,India,31
17,Franklin Nazareth,Mumbai City FC,Midfielder,0,0,38,India,22
18,Amandeep,Mumbai City FC,Defender,0,0,9,India,21
19,Sanjeev Stalin,Mumbai City FC,Midfielder,0,0,4,India,25
20,Alberto,Mohun Bagan Super Giants,Defender,1,0,540,Spain,33
21,Lalengmawia Apuia,Mohun Bagan Super Giants,Midfielder,0,0,540,India,25
22,Vishal Kaith,Mohun Bagan Super Giants,Goalkeeper,0,0,540,India,29
23,Abhishek Singh,Mohun Bagan Super Giants,Defender,0,1,537,India,21
24,Jamie Maclaren,Mohun Bagan Super Giants,Forward,7,0,527,Australia,32
25,Anirudh Thapa,Mohun Bagan Super Giants,Midfielder,0,2,459,India,28
26,Dimitri Petratos,Mohun Bagan Super Giants,Midfielder,2,1,481,Australia,33
27,Liston Colaco,Mohun Bagan Super Giants,Midfielder,0,2,466,India,27
28,Subashish Bose,Mohun Bagan Super Giants,Defender,0,2,369,India,30
29,Mehtab Singh,Mohun Bagan Super Giants,Defender,0,0,305,India,27
30,Robinho,Mohun Bagan Super Giants,Midfielder,2,0,249,Brazil,31
31,Jason Cummings,Mohun Bagan Super Giants,Midfielder,0,0,177,Australia,30
32,Manvir Singh,Mohun Bagan Super Giants,Midfielder,1,1,233,India,30
33,Tom Aldred,Mohun Bagan Super Giants,Defender,1,0,175,Scotland,35
34,Amey Ranawade,Mohun Bagan Super Giants,Defender,0,0,157,India,28
35,Deepak Tangri,Mohun Bagan Super Giants,Defender,0,0,112,India,27
36,Sahal Abdul Samad,Mohun Bagan Super Giants,Midfielder,0,0,58,India,28
37,Kiyan Nassiri,Mohun Bagan Super Giants,Forward,0,0,15,India,25
38,Nikhil Barla,Jamshedpur FC,Defender,0,0,540,India,22
39,Pratik Chowdhary,Jamshedpur FC,Defender,0,0,540,India,36
40,Stephen Eze,Jamshedpur FC,Defender,2,0,540,Nigeria,32
41,Albino Gomes,Jamshedpur FC,Goalkeeper,0,0,540,India,32
42,Raphaël Messi Bouli,Jamshedpur FC,Forward,1,0,536,Cameroon,33
43,Mohammed Sanan,Jamshedpur FC,Midfielder,0,0,515,India,21
44,Zothanpuia Mark,Jamshedpur FC,Defender,0,0,513,India,23
45,Pronay Halder,Jamshedpur FC,Midfielder,0,1,474,India,33
46,Nikola Stojanovi?,Jamshedpur FC,Midfielder,1,1,431,Serbia,31
47,Madih Talal,Jamshedpur FC,Midfielder,1,2,360,France,28
48,Rei Tachikawa,Jamshedpur FC,Midfielder,1,0,269,Japan,28
49,Ritwik Das,Jamshedpur FC,Midfielder,0,1,181,India,29
50,Vincy Barretto,Jamshedpur FC,Midfielder,1,0,158,India,26
51,Manvir Singh,Jamshedpur FC,Midfielder,0,0,84,India,24
52,Rosenberg Gabriel,Jamshedpur FC,Midfielder,0,0,74,India,27
53,Lalhriatpuia Chawngthu,Jamshedpur FC,Midfielder,0,0,62,India,20
54,Sarthak Golui,Jamshedpur FC,Defender,0,0,27,India,28
55,Lazar ?irkovi?,Jamshedpur FC,Defender,0,0,24,Serbia,33
56,Anwar Ali,East Bengal FC,Defender,2,1,540,India,25
57,Mohammed Rashid,East Bengal FC,Midfielder,0,1,540,Palestine,30
58,Prabhsukhan Singh,East Bengal FC,Goalkeeper,0,0,540,India,25
59,Miguel Figueira,East Bengal FC,Midfielder,2,1,527,Brazil,25
60,Jeakson Singh,East Bengal FC,Defender,0,0,494,India,24
61,Youssef Ezzejjari,East Bengal FC,Forward,7,0,492,Spain,32
62,Bipin Singh,East Bengal FC,Midfielder,0,1,451,India,31
63,Edmund Lalrindika,East Bengal FC,Midfielder,2,0,337,India,26
64,Lalchungnunga,East Bengal FC,Defender,0,0,280,India,25
65,Jay Gupta,East Bengal FC,Defender,0,1,354,India,24
66,Mohamad Rakip,East Bengal FC,Defender,0,0,349,India,25
67,Saúl Crespo,East Bengal FC,Midfielder,1,0,205,Spain,29
68,Vishnu PV,East Bengal FC,Defender,1,1,286,India,24
69,Nanda Kumar,East Bengal FC,Midfielder,1,0,168,India,30
70,Anton Søjberg,East Bengal FC,Midfielder,0,0,116,Denmark,25
71,Mahesh Singh,East Bengal FC,Midfielder,0,1,109,India,27
72,Souvik Chakrabarti,East Bengal FC,Defender,0,1,100,India,38
73,David Lalhlansanga,East Bengal FC,Forward,0,0,50,India,24
74,Martand Raina,East Bengal FC,Defender,0,0,2,India,25
75,Nikhil Poojari,Bengaluru FC,Defender,0,2,540,India,30
76,Gurpreet Singh Sandhu,Bengaluru FC,Goalkeeper,0,0,540,India,34
77,Roshan Singh,Bengaluru FC,Defender,0,0,539,India,27
78,Brían Sánchez,Bengaluru FC,Midfielder,3,0,497,Argentina,32
79,Konsham Singh,Bengaluru FC,Defender,0,0,495,India,29
80,Lalremtluanga Fanai,Bengaluru FC,Midfielder,0,1,466,India,21
81,Ashique Kuruniyan,Bengaluru FC,Midfielder,2,1,461,India,28
82,Ryan Williams,Bengaluru FC,Forward,1,0,436,Australia,32
83,Rahul Bheke,Bengaluru FC,Defender,0,0,360,India,35
84,Sirojiddin Quziyev,Bengaluru FC,Midfielder,0,0,323,Uzbekistan,29
85,Sunil Chhetri,Bengaluru FC,Forward,1,0,308,India,41
86,Suresh Singh,Bengaluru FC,Midfielder,0,0,284,India,25
87,Siva Sakthi,Bengaluru FC,Forward,1,0,214,India,24
88,Bungson Singh,Bengaluru FC,Defender,0,0,180,India,19
89,Namgyal Bhutia,Bengaluru FC,Midfielder,0,0,77,India,26
90,Vinith Venkatesh,Bengaluru FC,Midfielder,0,0,78,India,20
91,Ricky Meetei,Bengaluru FC,Defender,0,0,46,India,19
92,Rishi Singh,Bengaluru FC,Midfielder,0,0,42,India,25
93,Monirul Molla,Bengaluru FC,Forward,0,0,31,India,20
94,Soham Varshneya,Bengaluru FC,Midfielder,0,0,15,India,21
95,Chingangbam Shivaldo,Bengaluru FC,Defender,0,0,8,India,21
96,Sandesh Jhingan,FC Goa,Defender,1,0,540,India,32
97,Pol Moreno,FC Goa,Defender,1,0,540,Spain,31
98,Aakash Sangwan,FC Goa,Defender,0,1,540,India,30
99,Hrithik Tiwari,FC Goa,Goalkeeper,0,0,540,India,24
100,Dejan Draži,FC Goa,Forward,4,2,539,Serbia,30
101,Udanta Singh,FC Goa,Midfielder,0,0,534,India,29
102,Brison Fernandes,FC Goa,Midfielder,0,1,509,India,24
103,Boris Singh,FC Goa,Defender,0,0,477,India,26
104,Ayush Chhetri,FC Goa,Midfielder,0,0,432,India,22
105,Sahil Tavora,FC Goa,Midfielder,0,0,444,India,30
106,Ishan Pandita,FC Goa,Forward,0,0,199,India,27
107,Muhammed Nemil,FC Goa,Forward,0,0,153,India,24
108,Yasir Mohammad,FC Goa,Midfielder,0,0,76,India,26
109,Prachit Vishwas,FC Goa,Midfielder,0,0,45,India,19
110,Abdul Rabeeh A K,FC Goa,Midfielder,0,0,176,India,25
111,Raynier Fernandes,FC Goa,Midfielder,0,0,121,India,30
112,Daniel Lalhlimpuia,FC Goa,Forward,0,0,42,India,28
113,Harsh Shailesh Patre,FC Goa,Midfielder,0,0,33,India,23
114,Khaiminthang Lhungdim,Punjab FC,Defender,0,1,450,India,25
115,Arshdeep Singh,Punjab FC,Goalkeeper,0,0,450,India,28
116,Muhammed Uvais,Punjab FC,Defender,0,0,450,India,27
117,Bijoy Varghese,Punjab FC,Defender,0,0,450,India,26
118,Ricky John Shabong,Punjab FC,Midfielder,0,0,444,India,23
119,Dani Ramírez,Punjab FC,Midfielder,1,1,363,Spain,33
120,Pablo Santos,Punjab FC,Defender,0,0,326,Brazil,34
121,Nsungusi Jnr Effiong,Punjab FC,Forward,4,0,317,Nigeria,26
